misspelt_name,country,correct_city_id
Hfjdúszoposzló,Hungary,720276
Otrajnyy,Russia,513883
ian Isidre,Peru,3929631
Bordj Zemoufa,Algeria,2503620
ChulamViwta,United States,5336899
PalqyanlCity,Philippines,1696165
Kaset wioai,Thailand,1610185
Baipe Citx,China,1816269
Hiqhland,United States,4921402
hgggio nell'lmilia,Italy,3169522
xitte,Germany,6545310
Lamjhia Terme,Italy,6534232
Bbktemir,Uzbekistan,1514396
Quitflipi,Argentina,3839490
Beidaf,China,1816751
Igbxho,Nigeria,2338711
Zibo,China,1785286
Shrīgoada,India,1256426
Coatbricgu,United Kingdom,2652696
Arcmxko-Ekiti,Nigeria,2349529
Siasa,Kenya,383388
Dam Dah,India,1272243
Nevuünster,Germany,2864475
jlythe,United States,5329649
Rotsecaar,Belgium,2787662
Zurphen,Netherlands,2743608
Letehi,India,1264949
Staqford,United Kingdom,2637104
tomalcalcn,Mexico,3530385
Zhuhat,China,1790437
Dnhui,China,2037712
SaintaGermain-enhaayi,France,2979783
Ōme,Japan,1854162
Kapiri Mpouii,Zambia,913029
Baki,Indonesia,1650670
Rochnster,United States,5043473
Chodavarlz,India,1274020
Arnjtadt,Germany,2955439
Szombathaiy,Hungary,3044310
cusurluk,Turkey,300058
Jojmtla,Mexico,3526467
Kxnan,Japan,1858836
Boqle Heiuhts,United States,5330413
aabinda,Democratic Republic of the Congo,215527
Chon Dfen,Thailand,1611106
depok,Indonesia,1645518
Rājpīpia,India,1258819
San Mmtco Otzacatipjn,Mexico,3827254
Saksomaggiore herse,Italy,3168627
jhāro,Pakistan,1178587
Reşvţa,Romania,668954
zaardu,Estonia,590447
Oak Grovo,United States,5743731
zitybol Isabela,Philippines,1710519
Namanynre,Tanzania,151986
Konsbaitynów Łódxki,Poland,3095277
Esch-hur-Alzpxte,Luxembourg,2960596
luneo,Italy,3177700
Cazrolltzn,United States,4186416
Ronchiz,France,2982944
Puerto La drvz,Venezuela,3629672
tateley,United Kingdom,6620293
Baxgaon,India,1277322
suanuni,Bolivia,3914839
Bolhrad,Ukraine,711841
Čeyký Tršín,Czech Republic,3077882
Burgforf,Germany,2941405
BanePhai,Thailand,1614455
Tiruvalua,India,1254335
Veruelb,Philippines,1680040
Ermitagoña,Spain,8050880
Jvypore,India,1269092
xadanatalle,India,1264621
Zimsicea,Romania,662187
Jdkarta,Indonesia,1642911
veiligwnsee,Germany,2907551
Navzongo,Ghana,2297505
Condd,Brazil,3385077
Chalkjda,Greece,260133
Novoulxyanovsm,Russia,517766
Luadda,Angola,2240449
Sungurlv,Turkey,739236
Kurganioek,Russia,538836
Oravea,Romania,671768
Dklbeek,Belgium,2799365
Groveo,United States,4695317
Ełk,Poland,772621
Mirzāpua,Bangladesh,1185165
Yasqokorsk,Russia,468671
Vilkeyate-d’Ornon,France,2968620
Hoiea,Uganda,233312
Bayaguzna,Dominican Republic,3511626
Bolofo,Democratic Republic of the Congo,2316748
Ncrāyanpzt,India,1261823
Watertswn,United States,4954611
Bowwidg Green,United States,4285268
Samut Skqgkgram,Thailand,1606586
wovth Bend,United States,4926563
Caqby,United States,5717758
Deoālpur,India,1273181
Sen vrisxóbal de lqs Cmsas,Mexico,3519537
xonstitmción,Chile,3893726
Thành Pnố yạaLong,Vietnam,1580410
Pigdiga,Nigeria,2324857
Sāsvat,India,1257066
Sainthin,India,1257751
Hydsrabad,Pakistan,1176734
qahumet City,United States,4886255
Pvrqie Indnstrial Ciudad Mirrjn,Mexico,8858109
Sisjā Bāzāz,India,1255995
nūrpur,India,1261122
Doma,Nigeria,2344600
Leaach,Germany,2879832
Clstelvmtrano,Italy,2525083
San Andres tunyla,Mexico,3519907
San Jmrge,Argentina,3837441
Arayatuba,Brazil,3471859
Carzx do Piranaíba,Brazil,3466902
Divga,Pakistan,1179790
uuorong,China,1801850
Esrlwood,Australia,2167949
bametá,Brazil,3403697
Rāmpuro,India,1258584
Obehkirch,Germany,2860080
Ouagmdougor,Burkina Faso,2357048
Asmavir,Armenia,616631
qinigerloh,Germany,2930030
Mollmndo,Peru,3934707
jemlavista,Peru,3699364
Hurghnda,Egypt,361291
